231.38	82.116	60.275	93.941
231.43	80.948	56.805	93.53
231.48	78.745	55.094	94.007
231.53	76.343	52.693	94.714
231.58	74.304	52.496	94.961
231.63	72.149	47.233	94.55
231.68	71.705	47.348	94.089
231.73	106.52	44.963	93.629
231.78	135.17	56.838	93.941
231.83	121.44	97.741	96.277
231.88	111.56	85.307	96.376
231.93	107.79	78.383	95.981
231.98	98.25	85.586	95.389
232.03	99.468	69.913	95.29
232.08	100.67	66.245	95.553
232.13	95.751	71.245	96.162
232.18	89.978	64.65	96.408
232.23	87.971	62.66	95.701
232.28	85.669	59.962	95.257
232.33	83.087	55.489	95.093
232.38	81.031	52.742	95.816
232.43	78.958	50.637	96.195
232.48	76.508	48.877	96.392
232.53	75.011	48.302	96.03
232.58	73.054	45.72	95.455
232.63	71.459	43.861	95.356
232.68	88.333	41.328	96.26
232.73	133.73	42.989	97.033
232.78	128.33	87.461	97.066
232.83	113.73	85.603	97.362
232.88	110.54	76.87	96.853
232.93	100.68	74.518	96.589
232.98	98.662	74.814	96.096
233.03	101.85	61.278	96.968
233.08	98.201	64.765	96.655
233.13	92.182	63.038	97.412
233.18	88.152	64.65	97.116
233.23	85.948	58.795	96.836
233.28	83.531	54.14	95.422
233.33	82.182	54.963	96.853
233.38	80.159	50.686	96.803
233.43	77.051	49.667	97.313
233.48	75.258	48.252	97.017
233.53	74.584	45.917	96.984
233.58	72.347	45.72	95.52
233.63	69.666	43.384	96.721
233.68	75.028	40.999	99.402
233.73	122.26	41.049	99.731
233.78	132.02	74.748	99.402
233.83	115.03	93.777	98.596
233.88	108.64	75.472	98.497
233.93	100.31	75.028	99.221
233.98	94.353	73.367	99.352
234.03	97.724	62.183	99.533
234.08	98.053	68.104	99.188
234.13	92.576	69.83	98.119
234.18	87.955	59.354	98.793
234.23	84.106	61.196	99.418
234.28	81.195	54.617	99.566
234.33	79.156	54.963	99.139
234.38	77.955	52.693	99.056
234.43	76.508	50.209	98.497
234.48	74.485	46.887	98.991
234.53	72.166	46.904	99.188
234.58	70.159	45.292	99.665
234.63	68.465	43.401	98.958
234.68	66.919	40.424	97.494
234.73	80.965	40.111	97.066
234.78	126.88	40.012	98.218
234.83	125.19	91.409	97.806
234.88	106.39	88.662	98.399
234.93	101.18	74.024	97.642
234.98	93.728	74.386	97.494
235.03	93.859	69.913	96.968
235.08	97.79	61.344	97.971
235.13	94.714	69.814	98.119
235.18	87.182	69.502	98.3
235.23	84.6	63.137	97.741
235.28	82.955	59.436	97.412
235.33	81.376	56.92	97.132
235.38	78.153	51.657	97.691
235.43	75.488	50.242	98.201
235.48	73.317	50.292	98.333
235.53	73.087	50.242	98.02
235.58	71.261	46.18	96.869
235.63	76.771	45.769	97.412
235.68	117.82	43.894	97.856
235.73	126.92	74.913	95.652
235.78	109.48	97.181	95.257
235.83	102.36	80.192	95.093
235.88	95.751	72.873	94.089
235.93	93.284	76.886	94.78
235.98	96.376	63.696	95.241
236.03	95.093	69.929	96.014
236.08	89.55	70.505	95.323
236.13	84.929	64.518	94.665
236.18	82.248	61.278	94.418
236.23	79.633	53.976	95.01
236.28	77.429	54.107	95.307
236.33	74.945	52.611	95.553
236.38	74.32	50.769	95.274
236.43	72.1	49.223	94.599
236.48	70.472	46.427	94.55
236.53	78.07	45.012	95.06
236.58	121.62	44.815	95.356
236.63	126.39	87.05	96.195
236.68	110.67	93.859	95.751
236.73	104.43	78.778	95.126
236.78	96.08	76.689	95.635
236.83	93.02	74.847	95.619
236.88	95.109	64.748	96.26
236.93	93.695	72.478	96.162
236.98	88.185	70.505	95.668
237.03	85.307	61.739	95.043
237.08	82.363	61.821	95.422
237.13	80.027	56.805	95.734
237.18	77.281	53.598	96.228
237.23	75.718	53.055	95.948
237.28	74.682	50.736	95.767
237.33	72.758	50.209	95.471
237.38	73.251	46.904	95.241
237.43	109.48	46.789	95.882
237.48	128.79	66.13	96.343
237.53	112.0	98.399	96.03
237.58	102.9	79.962	95.307
237.63	95.422	76.755	95.191
237.68	91.425	70.916	95.241
