Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
0.0000	90.4446	71.4965	76.6075	4.7991	1.0000
0.1000	89.7175	72.1312	77.1718	4.7991	1.0000
0.2000	88.9903	72.7659	77.7360	4.7991	1.0000
0.3000	88.2631	73.4006	78.3003	4.7991	1.0000
0.4000	87.5541	74.0134	78.8392	4.7991	1.0000
0.5000	87.7385	73.5538	78.1401	4.7991	1.0000
0.6000	87.9229	73.0943	77.4410	4.7991	1.0000
0.7000	88.1073	72.6347	76.7418	4.7991	1.0000
0.8000	88.2917	72.1751	76.0427	4.7991	1.0000
0.9000	88.4761	71.7156	75.3435	4.7991	1.0000
1.0000	88.6605	71.2560	74.6444	4.7991	1.0000
1.1000	88.8448	70.7965	73.9453	4.7991	1.0000
1.2000	89.0292	70.3369	73.2461	4.7991	1.0000
1.3000	89.2136	69.8773	72.5470	4.7991	1.0000
1.4000	89.3980	69.4178	71.8478	4.7991	1.0000
1.5000	89.2661	69.1751	71.5957	4.7991	1.0000
1.6000	89.1066	68.9512	71.3825	4.7991	1.0000
1.7000	88.9472	68.7274	71.1692	4.7991	1.0000
1.8000	88.7877	68.5036	70.9560	4.7991	1.0000
1.9000	88.6283	68.2797	70.7427	4.7991	1.0000
2.0000	88.4688	68.0559	70.5295	4.7991	1.0000
2.1000	88.3094	67.8320	70.3162	4.7991	1.0000
2.2000	88.1499	67.6082	70.1030	4.7991	1.0000
2.3000	87.9110	67.4672	69.9957	4.7991	1.0000
2.4000	87.5710	67.4315	70.0233	4.7991	1.0000
2.5000	87.2310	67.3959	70.0509	4.7991	1.0000
2.6000	86.8910	67.3602	70.0786	4.7991	1.0000
2.7000	86.5509	67.3246	70.1062	4.7991	1.0000
2.8000	86.2109	67.2890	70.1338	4.7991	1.0000
2.9000	85.8709	67.2533	70.1614	4.7991	1.0000
3.0000	85.5309	67.2177	70.1890	4.7991	1.0000
3.1000	85.8933	67.7051	70.7974	4.7991	1.0000
3.2000	86.5025	68.3763	71.6097	4.7991	1.0000
3.3000	87.1117	69.0475	72.4221	4.7991	1.0000
3.4000	87.7209	69.7187	73.2345	4.7991	1.0000
3.5000	88.3301	70.3899	74.0468	4.7991	1.0000
3.6000	88.9393	71.0611	74.8592	4.7991	1.0000
3.7000	89.5485	71.7324	75.6716	4.7991	1.0000
3.8000	90.0828	72.3399	76.3981	4.7991	1.0000
3.9000	89.7558	72.2149	76.1373	4.7958	1.0000
4.0000	89.4287	72.0899	75.8765	4.7926	1.0000
4.1000	89.1017	71.9650	75.6158	4.7894	1.0000
4.2000	88.7747	71.8400	75.3550	4.7862	1.0000
4.3000	88.4477	71.7151	75.0942	4.7829	1.0000
4.4000	88.1207	71.5901	74.8334	4.7797	1.0000
4.5000	87.7937	71.4651	74.5727	4.7765	1.0000
4.6000	87.4667	71.3402	74.3119	4.7733	1.0000
4.7000	87.1397	71.2152	74.0511	4.7700	1.0000
4.8000	86.8127	71.0903	73.7903	4.7668	1.0000
4.9000	86.6326	70.9465	73.6415	4.7636	1.0000
5.0000	86.5155	70.7948	73.5407	4.7604	1.0000
5.1000	86.3984	70.6430	73.4398	4.7571	1.0000
5.2000	86.2812	70.4912	73.3390	4.7539	1.0000
5.3000	86.1641	70.3395	73.2382	4.7507	1.0000
5.4000	86.0470	70.1877	73.1373	4.7475	1.0000
5.5000	85.9298	70.0360	73.0365	4.7442	1.0000
5.6000	85.8127	69.8842	72.9357	4.7410	1.0000
5.7000	85.6956	69.7324	72.8348	4.7378	1.0000
5.8000	85.4571	69.4550	72.7085	4.7346	1.0000
5.9000	85.0763	69.0300	72.5522	4.7313	1.0000
6.0000	84.6955	68.6050	72.3959	4.7281	1.0000
