Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
9.1000	80.0207	67.8633	0.0000	4.2290	2.0000
9.2000	79.7088	67.7542	0.0000	4.2180	2.0000
9.3000	79.3969	67.6451	0.0000	4.2070	2.0000
9.4000	79.0850	67.5360	0.0000	4.1960	2.0000
9.5000	78.7731	67.4269	0.0000	4.1850	2.0000
9.6000	78.4612	67.3178	0.0000	4.1740	2.0000
9.7000	78.1493	67.2087	0.0000	4.1630	2.0000
9.8000	77.8374	67.0996	0.0000	4.1520	2.0000
9.9000	77.7956	67.2274	0.0000	4.1410	2.0000
10.0000	77.9339	67.5131	0.0000	4.1300	2.0000
10.1000	78.0721	67.7989	0.0000	4.1190	2.0000
10.2000	78.2103	68.0847	0.0000	4.1080	2.0000
10.3000	78.3486	68.3704	0.0000	4.0970	2.0000
10.4000	78.4868	68.6562	0.0000	4.0861	2.0000
10.5000	78.6251	68.9419	0.0000	4.0751	2.0000
10.6000	78.7633	69.2277	0.0000	4.0641	2.0000
10.7000	78.8271	69.4547	0.0000	4.0531	2.0000
10.8000	78.8035	69.6126	0.0000	4.0421	2.0000
10.9000	78.7799	69.7706	0.0000	4.0311	2.0000
11.0000	78.7563	69.9286	0.0000	4.0201	2.0000
11.1000	78.7326	70.0866	0.0000	4.0091	2.0000
11.2000	78.7090	70.2446	0.0000	3.9981	2.0000
11.3000	78.6854	70.4026	0.0000	3.9871	2.0000
11.4000	78.6618	70.5606	0.0000	3.9761	2.0000
11.5000	78.6449	70.7120	0.0000	3.9651	2.0000
11.6000	78.6879	70.8048	0.0000	3.9541	2.0000
11.7000	78.7309	70.8975	0.0000	3.9431	2.0000
11.8000	78.7739	70.9903	0.0000	3.9321	2.0000
11.9000	78.8169	71.0830	0.0000	3.9211	2.0000
12.0000	78.8599	71.1757	0.0000	3.9101	2.0000
12.1000	78.9029	71.2685	0.0000	3.8991	2.0000
12.2000	78.9459	71.3612	0.0000	3.8881	2.0000
12.3000	79.0129	71.4774	0.0000	3.8771	2.0000
12.4000	79.3568	71.8628	0.0000	3.8661	2.0000
12.5000	79.7007	72.2483	0.0000	3.8551	2.0000
12.6000	80.0445	72.6338	0.0000	3.8441	2.0000
12.7000	80.3884	73.0192	0.0000	3.8332	2.0000
12.8000	80.7323	73.4047	0.0000	3.8222	2.0000
12.9000	81.0761	73.7902	0.0000	3.8112	2.0000
13.0000	81.4200	74.1756	0.0000	3.8002	2.0000
13.1000	81.7639	74.5611	0.0000	3.7892	2.0000
13.2000	81.9949	74.6957	0.0000	3.7782	2.0000
13.3000	82.1902	74.7511	0.0000	3.7672	2.0000
13.4000	82.3855	74.8065	0.0000	3.7562	2.0000
13.5000	82.5809	74.8619	0.0000	3.7452	2.0000
13.6000	82.7762	74.9173	0.0000	3.7342	2.0000
13.7000	82.9715	74.9727	0.0000	3.7232	2.0000
13.8000	83.1669	75.0281	0.0000	3.7122	2.0000
13.9000	83.3622	75.0835	0.0000	3.7012	2.0000
14.0000	83.5575	75.1389	0.0000	3.6902	2.0000
14.1000	83.5897	74.9797	0.0000	3.6792	2.0000
14.2000	83.5038	74.6650	0.0000	3.6682	2.0000
14.3000	83.4178	74.3504	0.0000	3.6572	2.0000
14.4000	83.3319	74.0357	0.0000	3.6462	2.0000
14.5000	83.2460	73.7211	0.0000	3.6352	2.0000
14.6000	83.1600	73.4064	0.0000	3.6242	2.0000
14.7000	83.0741	73.0918	0.0000	3.6132	2.0000
14.8000	82.9881	72.7772	0.0000	3.6022	2.0000
14.9000	82.9022	72.4625	0.0000	3.5912	2.0000
15.0000	82.8155	72.1054	0.0000	3.5802	2.0000
15.1000	82.7280	71.6985	0.0000	3.5693	2.0000
15.2000	82.6405	71.2915	0.0000	3.5583	2.0000
15.3000	82.5530	70.8846	0.0000	3.5473	2.0000
15.4000	82.4654	70.4776	0.0000	3.5363	2.0000
15.5000	82.3779	70.0707	0.0000	3.5253	2.0000
15.6000	82.2904	69.6638	0.0000	3.5143	2.0000
15.7000	82.2029	69.2568	0.0000	3.5033	2.0000
15.8000	82.1154	68.8499	0.0000	3.4923	2.0000
15.9000	82.1182	68.8306	0.0000	3.4813	2.0000
16.0000	82.1675	69.0111	0.0000	3.4703	2.0000
16.1000	82.2168	69.1915	0.0000	3.4593	2.0000
16.2000	82.2661	69.3720	0.0000	3.4483	2.0000
16.3000	82.3154	69.5525	0.0000	3.4373	2.0000
16.4000	82.3647	69.7329	0.0000	3.4334	2.0000
16.5000	82.4140	69.9134	0.0000	3.4580	2.0000
16.6000	82.4633	70.0939	0.0000	3.4825	2.0000
16.7000	82.5126	70.2743	0.0000	3.5071	2.0000
16.8000	82.4915	70.2527	0.0000	3.5317	2.0000
16.9000	82.3337	69.8388	0.0000	3.5562	2.0000
17.0000	82.1759	69.4249	0.0000	3.5808	2.0000
17.1000	82.0181	69.0110	0.0000	3.6054	2.0000
17.2000	81.8603	68.5971	0.0000	3.6299	2.0000
17.3000	81.7024	68.1832	0.0000	3.6545	2.0000
17.4000	81.5446	67.7693	0.0000	3.6791	2.0000
17.5000	81.3868	67.3554	0.0000	3.7036	2.0000
17.6000	81.2290	66.9415	0.0000	3.7282	2.0000
17.7000	81.0712	66.5276	0.0000	3.7527	2.0000
17.8000	80.7951	66.2727	0.0000	3.7773	2.0000
17.9000	80.4893	66.0576	0.0000	3.8019	2.0000
18.0000	80.1836	65.8425	0.0000	3.8264	2.0000
18.1000	79.8779	65.6273	0.0000	3.8510	2.0000
18.2000	79.5721	65.4122	0.0000	3.8756	2.0000
18.3000	79.2664	65.1970	0.0000	3.9001	2.0000
18.4000	78.9607	64.9819	0.0000	3.9247	2.0000
18.5000	78.6550	64.7668	0.0000	3.9493	2.0000
