Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
9.1000	73.4629	64.5622	64.4081	5.4116	2.0000
9.2000	73.3064	64.4828	64.2917	5.4099	2.0000
9.3000	73.1477	64.4035	64.1732	5.4082	2.0000
9.4000	72.9891	64.3242	64.0546	5.4065	2.0000
9.5000	72.8305	64.2448	63.9361	5.4048	2.0000
9.6000	72.6718	64.1655	63.8175	5.4031	2.0000
9.7000	72.5132	64.0862	63.6989	5.4013	2.0000
9.8000	72.3546	64.0068	63.5804	5.3996	2.0000
9.9000	72.1959	63.9275	63.4618	5.3979	2.0000
10.0000	72.0373	63.8481	63.3433	5.3962	2.0000
10.1000	71.8786	63.7688	63.2247	5.3945	2.0000
10.2000	71.7200	63.6895	63.1062	5.3928	2.0000
10.3000	71.6304	63.6828	63.0206	5.3911	2.0000
10.4000	71.7373	63.8828	63.0289	5.3894	2.0000
10.5000	71.8443	64.0828	63.0373	5.3881	2.0000
10.6000	71.9512	64.2828	63.0456	5.3869	2.0000
10.7000	72.0582	64.4828	63.0539	5.3856	2.0000
10.8000	72.1651	64.6828	63.0623	5.3843	2.0000
10.9000	72.2720	64.8828	63.0706	5.3830	2.0000
11.0000	72.3790	65.0828	63.0789	5.3818	2.0000
11.1000	72.4859	65.2828	63.0873	5.3805	2.0000
11.2000	72.5928	65.4828	63.0956	5.3792	2.0000
11.3000	72.6998	65.6828	63.1040	5.3779	2.0000
11.4000	72.8067	65.8828	63.1123	5.3767	2.0000
11.5000	72.8839	66.0511	63.0889	5.3754	2.0000
11.6000	72.7784	66.0243	62.8705	5.3741	2.0000
11.7000	72.6728	65.9976	62.6522	5.3728	2.0000
11.8000	72.5673	65.9708	62.4338	5.3716	2.0000
11.9000	72.4617	65.9440	62.2155	5.3703	2.0000
12.0000	72.3562	65.9173	61.9971	5.3690	2.0000
12.1000	72.2506	65.8905	61.7787	5.3677	2.0000
12.2000	72.1450	65.8638	61.5604	5.3665	2.0000
12.3000	72.0395	65.8370	61.3420	5.3652	2.0000
12.4000	71.9339	65.8103	61.1237	5.3639	2.0000
12.5000	71.8284	65.7835	60.9053	5.3626	2.0000
12.6000	71.7228	65.7568	60.6869	5.3614	2.0000
12.7000	71.6173	65.7300	60.4686	5.3601	2.0000
12.8000	71.4575	65.5565	60.2731	5.3588	2.0000
12.9000	71.2965	65.3800	60.0780	5.3575	2.0000
13.0000	71.1356	65.2034	59.8830	5.3562	2.0000
13.1000	70.9746	65.0269	59.6879	5.3550	2.0000
13.2000	70.8137	64.8504	59.4929	5.3537	2.0000
13.3000	70.6527	64.6739	59.2978	5.3524	2.0000
13.4000	70.4918	64.4974	59.1028	5.3511	2.0000
13.5000	70.3309	64.3208	58.9078	5.3499	2.0000
13.6000	70.1699	64.1443	58.7127	5.3486	2.0000
13.7000	70.0090	63.9678	58.5177	5.3475	2.0000
13.8000	69.8480	63.7913	58.3226	5.3472	2.0000
13.9000	69.7037	63.6345	58.1487	5.3470	2.0000
14.0000	69.7506	63.7044	58.2174	5.3467	2.0000
14.1000	69.7975	63.7744	58.2861	5.3464	2.0000
14.2000	69.8444	63.8443	58.3548	5.3462	2.0000
14.3000	69.8913	63.9143	58.4235	5.3459	2.0000
14.4000	69.9381	63.9842	58.4922	5.3456	2.0000
14.5000	69.9850	64.0542	58.5609	5.3454	2.0000
14.6000	70.0319	64.1242	58.6296	5.3451	2.0000
14.7000	70.0788	64.1941	58.6983	5.3448	2.0000
14.8000	70.1257	64.2641	58.7671	5.3445	2.0000
14.9000	70.1726	64.3340	58.8358	5.3443	2.0000
15.0000	70.2195	64.4040	58.9045	5.3440	2.0000
15.1000	70.2663	64.4739	58.9732	5.3437	2.0000
